Handle,SKU,On hand
l-artichaut-fume,ENT-001,100
les-huitres-perle,ENT-002,50
le-foie-gras-royal,ENT-003,30
truffle-risotto,MAIN-001,40
wagyu-beef-steak,MAIN-002,10
lobster-thermidor,MAIN-003,15
wagyu-a5-rossini,MAIN-004,10
le-bar-en-croute,MAIN-005,20
le-canard-a-l-orange,MAIN-006,25
chocolate-souffle,DES-001,20
mille-feuille-vanille,DES-002,30
fondant-au-chocolat-noir,DES-003,40
dom-perignon-vintage,WINE-001,12
chateau-margaux-2015,WINE-002,6
martini-aux-truffes,BAR-001,100
escargots-de-bourgogne,ENT-004,40
tartare-de-boeuf-au-couteau,ENT-005,30
filet-mignon-aux-herbes,MAIN-007,20
bouillabaisse-marseillaise,MAIN-008,15
tarte-tatin-maison,DES-004,20
profiteroles-au-chocolat,DES-005,30
assortiment-de-fromages,DES-006,20
negroni-vieux-carre,BAR-002,100
puligny-montrachet-2018,WINE-003,10
coquilles-saint-jacques,ENT-006,20
carre-d-agneau-en-croute,MAIN-009,20
